movie_title,imdb_id,duration,language,country,release_date,release_country,budget,genres,title_year,num_voted_users,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,actor_4_name,actor_4_facebook_likes,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,production,imdb_score
Pig Hunt,tt1022883,99,English,USA,31 Jul 2008,release_countrytt1022883,budget,Action| Horror| Thriller,2008,2240,James Isaac,2014,null,8530,null,8530,null,8530,null,8530,571920,989,78,Phase 4 Films,5
Gypsy Eyes,tt0104380,87,Slovenian| English,Slovenia,N/A,release_countrytt0104380,budget,Action| Drama| Romance,1992,187,Vinci Vogue Anzlovar,52,null,8530,null,8530,null,8530,null,8530,2462,1,0,Incovent,5
Curse of the Witching Tree,tt3796936,102,English,UK,07 Sep 2016,release_countrytt3796936,budget,Horror,2015,1430,James Crow,1320499,null,8530,null,8530,null,8530,null,8530,58917,72,16,N/A,5
Dawn Rider,tt2014202,94,English,Canada,29 May 2012,release_countrytt2014202,budget,Western,2012,1690,Terry Miles,3604,null,8530,null,8530,null,8530,null,8530,582804,241,146,Nasser Group Inc.,5
The Hard Truth,tt0109986,100,English,USA,23 Nov 1994,release_countrytt0109986,budget,Action| Crime| Romance,1994,212,Kristine Peterson,178,null,8530,null,8530,null,8530,null,8530,2700,10,0,Live Home Video,5
Gary of the Pacific,tt5513718,87,English,New Zealand| Cook Islands,16 Mar 2017,release_countrytt5513718,budget,Comedy,2017,64,Jarrod Holt| Ryan Hutchings| Nigel McCulloch,122,null,8530,null,8530,null,8530,null,8530,40319,120,8,thedownlowconcept,5
Rain Fall,tt1206086,111,Japanese| English,Japan,25 Apr 2009,release_countrytt1206086,budget,Action| Crime| Drama,2009,1075,Max Mannix,1150,null,8530,null,8530,null,8530,null,8530,19539,23,1,LionsGate Entertainment,5
Top Cat: The Movie,tt1821680,90,Spanish| English,Mexico| Argentina,02 Aug 2013,release_countrytt1821680,budget,Animation| Action| Comedy,2011,1481,Alberto Mar,152703,null,8530,null,8530,null,8530,null,8530,173430,213,279,Viva Pictures Entertainment,5
Bhoot and Friends,tt1807978,133,Hindi| English,India,31 Dec 2010,release_countrytt1807978,budget,Animation| Action| Adventure,2010,24,Kittu Saluja,0,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Dead Connection,tt0107417,93,English,USA,18 Nov 1994,release_countrytt0107417,budget,Crime| Drama| Thriller,1994,451,Nigel Dick,474,null,8530,null,8530,null,8530,null,8530,974,3,1,PolyGram Video,5
Rio Sex Comedy,tt1429432,124,English| French| Portuguese,France| Brazil,23 Feb 2011,release_countrytt1429432,budget,Comedy| Drama,2010,606,Jonathan Nossiter,356,null,8530,null,8530,null,8530,null,8530,68058,16,4,Océan Films,5
Deadly Sins,tt0112830,98,English,Canada| USA,17 Oct 1995,release_countrytt0112830,budget,Drama| Horror| Mystery,1995,382,Michael Robison,1002,null,8530,null,8530,null,8530,null,8530,194401,3605,91,Libra Home Entertainment,5
The Corridor,tt1602617,98,English,Canada,30 Mar 2012,release_countrytt1602617,budget,Drama| Horror| Sci-Fi,2010,2290,Evan Kelly,857,null,8530,null,8530,null,8530,null,8530,422210,1096,170,Unknown,5
Extraction,tt2823574,106,English,USA,05 Sep 2013,release_countrytt2823574,budget,Action,2013,931,Tony Giglio,1409,null,8530,null,8530,null,8530,null,8530,421644,749,114,Sony Pictures Entertainment,5
