Poolhall Junkies,tt0273982,http://www.imdb.com/title/tt0273982/?ref_=fn_tt_tt_1,99 min,English,USA,28 Feb 2003,release_countrytt0273982,4000000,Comedy| Drama| Sport,beating|hustler|jail|money|revenge,2002,8|821,Mars Callahan,372,Chazz Palminteri,11091,Ricky Schroder,94351,Rod Steiger,3917,Michael Rosenbaum,62929,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Samuel Goldwyn Films,7
The Loss of Sexual Innocence,tt0126859,http://www.imdb.com/title/tt0126859/?ref_=fn_tt_tt_1,106 min,English,USA| UK,07 Jan 2000,release_countrytt0126859,4000000,Drama,1950s|italian|murder|tunisia|vomiting,1999,2|938,Mike Figgis,1091,Julian Sands,4515,Saffron Burrows,46890,Stefano Dionisi,1743,Kelly Macdonald,9330,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Sony Pictures Classics,6
Holy Motors,tt2076220,http://www.imdb.com/title/tt2076220/?ref_=fn_tt_tt_1,115 min,French| English| Chinese,France| Germany,04 Jul 2012,release_countrytt2076220,,Drama| Fantasy,boudoir|death|insanity|male full frontal nudity|penis,2012,32|836,Leos Carax,34566,Denis Lavant,1963,Edith Scob,227,Eva Mendes,3842217,Kylie Minogue,2852245,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Indomina Releasing,8
Joe,tt2382396,http://www.imdb.com/title/tt2382396/?ref_=fn_tt_tt_1,117 min,English,USA,11 Apr 2014,release_countrytt2382396,4000000,Drama,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,2013,39|257,David Gordon Green,1839,Nicolas Cage,214212,Tye Sheridan,11635,Gary Poulter,69,Ronnie Gene Blevins,753,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Roadside Attractions,7
Shooting Fish,tt0120122,http://www.imdb.com/title/tt0120122/?ref_=fn_tt_tt_1,103 min,English,UK,01 May 1998,release_countrytt0120122,3000000,Comedy| Crime| Romance,con artist|money|orphan|scam|secretary,1997,6|879,Stefan Schwartz,4721,Rowena Cooper,5,Scott Charles,4586,Antonia Corrigan,1,Myles Anderson,34,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Twentieth Century Fox Home Entertainment,7
Prison,tt0095904,http://www.imdb.com/title/tt0095904/?ref_=fn_tt_tt_1,102 min,English,USA,08 Dec 1987,release_countrytt0095904,1300000,Crime| Drama| Horror,electric chair|haunting|prison|prisoner|revenge,1987,3|019,Renny Harlin,5880,Viggo Mortensen,126289,Chelsea Field,4167,Lane Smith,1693,Lincoln Kilpatrick,51,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,New World Video,6
Psycho Beach Party,tt0206226,http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1,95 min,English,Australia| USA,01 Sep 2001,release_countrytt0206226,1500000,Comedy| Horror| Mystery,cliche|exchange student|slasher|spoof|surfing,2000,4|805,Robert Lee King,22350,Lauren Ambrose,5165,Thomas Gibson,44252,Nicholas Brendon,151875,Kimberley Davies,4094,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Strand Releasing,7
The Big Tease,tt0156639,http://www.imdb.com/title/tt0156639/?ref_=fn_tt_tt_1,86 min,English,UK| USA,28 Jan 2000,release_countrytt0156639,4000000,Comedy,competition|fake documentary|hairdresser|nudity|reference to liberace,1999,2|175,Kevin Allen,9178,Craig Ferguson,119652,Chris Langham,280,David Rasche,641,Frances Fisher,5073,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,WARNER BROTHERS PICTURES,7
Trust,tt1529572,http://www.imdb.com/title/tt1529572/?ref_=fn_tt_tt_1,106 min,English,USA,28 Apr 2011,release_countrytt1529572,9500000,Crime| Drama| Thriller,counselor|fbi|revenge motive|school|teenage girl,2010,36|645,David Schwimmer,327755,Clive Owen,99933,Catherine Keener,14106,Liana Liberato,42972,Jason Clarke,5813,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Millenium Entertainment,7
An Everlasting Piece,tt0218182,http://www.imdb.com/title/tt0218182/?ref_=fn_tt_tt_1,103 min,English,USA,23 Mar 2001,release_countrytt0218182,14000000,Comedy,alopecia|belfast northern ireland|ireland|irish republican army|scalper,2000,1|442,Barry Levinson,2438,Barry McEvoy,52,Brían F. O*Byrne,2787,Anna Friel,16733,Pauline McLynn,723,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Dreamworks Distribution LLC,7
Among Giants,tt0122906,http://www.imdb.com/title/tt0122906/?ref_=fn_tt_tt_1,93 min,English,UK,01 Apr 1999,release_countrytt0122906,2500000,Romance| Comedy,australian|female armpit hair|friend|sheffield|yorkshire,1998,827,Sam Miller,5264,Pete Postlethwaite,7533,Rachel Griffiths,7904,James Thornton,542,Lennie James,10268,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,20th Century Fox,6
Adore,tt2103267,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,112 min,English,Australia| France,03 Apr 2013,release_countrytt2103267,16000000,Drama| Romance,beach|friend|friendship|happiness|neighbor,2013,26|191,Anne Fontaine,366823,Naomi Watts,183573,Robin Wright,155867,Xavier Samuel,46484,James Frecheville,874,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Exclusive Media,7
The Velocity of Gary,tt0120878,http://www.imdb.com/title/tt0120878/?ref_=fn_tt_tt_1,100 min,English,USA,16 Jul 1999,release_countrytt0120878,4000000,Comedy| Drama| Romance,dying|hospital|parenthesis in title|punctuation in title|tears,1998,1|590,Dan Ireland,12566,Vincent D*Onofrio,74672,Salma Hayek,623678,Thomas Jane,55272,Olivia d*Abo,4325,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Sony Pictures Home Entertainment,6
Mondays in the Sun,tt0319769,http://www.imdb.com/title/tt0319769/?ref_=fn_tt_tt_1,113 min,Spanish,Spain| France| Italy,27 Sep 2002,release_countrytt0319769,4000000,Comedy| Drama,australia|bar|shipyard|siamese twins|tuna,2002,10|722,Fernando León de Aranoa,280,Javier Bardem,149459,Luis Tosar,10788,José Angel Egido,0,Nieve de Medina,399,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Lions Gate Films,8
Stake Land,tt1464580,http://www.imdb.com/title/tt1464580/?ref_=fn_tt_tt_1,98 min,English,USA,17 Jun 2011,release_countrytt1464580,650000,Drama| Horror| Sci-Fi,canada|post apocalypse|road movie|vampire|vampire hunter,2010,36|705,Jim Mickle,281,Connor Paolo,5876,Gregory Jones,641,Traci Hovel,0,Nick Damici,538,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,IFC,7
The Last Time I Committed Suicide,tt0119502,http://www.imdb.com/title/tt0119502/?ref_=fn_tt_tt_1,92 min,English,USA,20 Jun 1997,release_countrytt0119502,4000000,Biography| Drama,1940s|female bare foot|picket fence|tire|vomiting,1997,1|775,Stephen Kay,1413,Thomas Jane,55272,Keanu Reeves,873107,Adrien Brody,3952,John Doe,59930,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,MCA Universal Home Video,6
Futuro Beach,tt2199543,http://www.imdb.com/title/tt2199543/?ref_=fn_tt_tt_1,106 min,Portuguese| German| English,Brazil| Germany,27 Feb 2015,release_countrytt2199543,4000000,Drama| Romance,gay|male frontal nudity|male nudity|male rear nudity|nudity,2014,2|040,Karim Aïnouz,12204,Wagner Moura,140764,Clemens Schick,7854,Jesuíta Barbosa,26966,Fred Lima,2545,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Strand Releasing,7
